"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Keystroke","p",,"3","1676667201689","test8.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","o","","3","1676667201779","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"4","1676667201791","test8.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","4","1676667201918","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"5","1676667201925","test8.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","t","","5","1676667202055","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"6","1676667202061","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","6","1676667202249","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"7","1676667202249","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","t","","7","1676667202648","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"8","1676667202648","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","u","","8","1676667202813","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"9","1676667202830","test8.py","1.1.5 for 2021-2022 @t1",,"u",,,,,
"X-Keystroke","i",,"1","1676667200702","test8.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","m",,"2","1676667200860","test8.py","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke"," ",,"3","1676667200958","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","p",,"3","1676667201689","test8.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","o",,"4","1676667201791","test8.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"5","1676667201925","test8.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"6","1676667202061","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"7","1676667202249","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","t",,"8","1676667202648","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","u",,"9","1676667202830","test8.py","1.1.5 for 2021-2022 @t1",,"u",,,,,
"X-Keystroke","r",,"10","1676667202923","test8.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"11","1676667203348","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","l",,"12","1676667203524","test8.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","e",,"13","1676667203615","test8.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","r","","9","1676667202914","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"10","1676667202923","test8.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","t","","10","1676667203334","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"11","1676667203349","test8.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","l","","11","1676667203518","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"12","1676667203524","test8.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit","e","","12","1676667203610","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"13","1676667203615","test8.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Action","Escape",,,"1676667205833","test8.py","1.1.5 for 2021-2022 @t1",,"Escape",,,,,
"X-Action","Down",,,"1676667206215","test8.py","1.1.5 for 2021-2022 @t1",,"Down",,,,,
"X-Action","Down",,,"1676667206383","test8.py","1.1.5 for 2021-2022 @t1",,"Down",,,,,
"X-Action","Down",,,"1676667206552","test8.py","1.1.5 for 2021-2022 @t1",,"Down",,,,,
"X-Action","Enter",,,"1676667207817","test8.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","20","1676667207825","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","21","1676667207836","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","b","","25","1676667208221","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"26","1676667208222","test8.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Keystroke","b",,"26","1676667208222","test8.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","EditorChange",,,"1676667317435","test8.py","1.1.5 for 2021-2022 @t1",,"EditorChange",,,,,
"File.Edit",",","","3","1676667319948","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",",",,"4","1676667319949","test7.py","1.1.5 for 2021-2022 @t1",,",",,,,,
"X-Keystroke",",",,"4","1676667319949","test7.py","1.1.5 for 2021-2022 @t1",,",",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test9.py",,,"1676667665735","test8.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test9.py",,,,,
"X-Keystroke","p",,"1","1676667669162","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","p","","0","1676667669161","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"1","1676667669162","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","1","1676667676914","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"2","1676667676925","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","2","1676667678816","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"3","1676667678831","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","3","1676667678860","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"4","1676667678874","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","r",,"2","1676667676925","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"3","1676667678831","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"4","1676667678874","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","(","","4","1676667680510","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","5","1676667680515","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"5","1676667680516","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"6","1676667680547","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Enter",,,"1676667682454","test9.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","6","1676667682462","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","7","1676667682988","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"8","1676667682989","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","8","1676667683159","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"9","1676667683168","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","9","1676667683262","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"10","1676667683274","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","10","1676667683362","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"11","1676667683380","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","11","1676667683415","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"12","1676667683422","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"5","1676667680516","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"6","1676667680547","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Keystroke","p",,"8","1676667682989","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"9","1676667683167","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"10","1676667683273","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"11","1676667683380","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"12","1676667683422","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Backspace",,,"1676667684430","test9.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","11","1676667684439","test9.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",")","","11","1676667685035","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",")",,"12","1676667685036","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Backspace",,,"1676667685714","test9.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",")","11","1676667685721","test9.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","(","","11","1676667686026","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","12","1676667686033","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"12","1676667686033","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"13","1676667686057","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Enter",,,"1676667686943","test9.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","13","1676667686949","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","14","1676667687313","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"15","1676667687314","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke",")",,"12","1676667685036","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Keystroke","(",,"12","1676667686033","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"13","1676667686057","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Keystroke","p",,"15","1676667687314","test9.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"16","1676667687465","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"17","1676667687604","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"18","1676667687661","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","r","","15","1676667687458","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"16","1676667687465","test9.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","16","1676667687594","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"17","1676667687604","test9.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","17","1676667687651","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"18","1676667687661","test9.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","(","","18","1676667688072","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","19","1676667688076","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"19","1676667688077","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"20","1676667688111","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Up",,,"1676667690022","test9.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Up",,,"1676667690171","test9.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Keystroke","(",,"19","1676667688077","test9.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"20","1676667688111","test9.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Left",,,"1676667690548","test9.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Action","Left",,,"1676667690836","test9.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Action","Shrink Selection",,,"1676667692932","test9.py","1.1.5 for 2021-2022 @t1",,"Shrink Selection",,,,,
"X-Action","Shrink Selection",,,"1676667693471","test9.py","1.1.5 for 2021-2022 @t1",,"Shrink Selection",,,,,
"X-Action","Shrink Selection",,,"1676667693853","test9.py","1.1.5 for 2021-2022 @t1",,"Shrink Selection",,,,,
"X-Action","Shrink Selection",,,"1676667694006","test9.py","1.1.5 for 2021-2022 @t1",,"Shrink Selection",,,,,
"File.Edit","t","","4","1676667700244","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","t","","12","1676667700250","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","t","","20","1676667700255","test9.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"5","1676667700256","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","t",,"13","1676667700256","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","t",,"21","1676667700256","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","t",,"5","1676667700255","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","t",,"13","1676667700255","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","t",,"21","1676667700255","test9.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","ShowYourWork Init","","","1679074433410",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1680652341978",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1683043646863",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","a","","0","1683043699224","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1683043699262","test10.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","i","","0","1683043700443","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1683043700449","test10.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","g","","1","1683043700524","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"2","1683043700530","test10.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"X-Action","Backspace",,,"1683043701273","test10.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","g","1","1683043701290","test10.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","f","","1","1683043704392","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"2","1683043704415","test10.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","2","1683043704592","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1683043704602","test10.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Right",,,"1683043705440","test10.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"File.Edit",";","","4","1683043726481","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"5","1683043726486","test10.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Action","Backspace",,,"1683043727147","test10.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","4","1683043727152","test10.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",":","","4","1683043727589","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1683043727595","test10.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Enter",,,"1683043728122","test10.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","5","1683043728149","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","6","1683043728193","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","b","","10","1683043728867","test10.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"11","1683043728873","test10.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","ShowYourWork Init","","","1683297217045",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1683564807851",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","i","","0","1683564823376","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1683564823380","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","f","","1","1683564823477","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"2","1683564823479","test11.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","2","1683564824227","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1683564824228","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","3","1683564824374","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"4","1683564824375","test11.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit",":","","4","1683564825080","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1683564825081","test11.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Enter",,,"1683564825726","test11.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","5","1683564825732","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","6","1683564825739","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","10","1683564826131","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"11","1683564826132","test11.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","11","1683564826329","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"12","1683564826339","test11.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"1","1683564823379","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","f",,"2","1683564823479","test11.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke"," ",,"3","1683564824228","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","a",,"4","1683564824375","test11.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",":",,"5","1683564825081","test11.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Keystroke","p",,"11","1683564826132","test11.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"12","1683564826338","test11.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","12","1683564826398","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"13","1683564826410","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","13","1683564826458","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"14","1683564826470","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","14","1683564826524","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"15","1683564826530","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","(","","15","1683564826839","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","16","1683564826845","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"16","1683564826846","test11.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"File.Edit","'","","16","1683564827047","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","'","","17","1683564827055","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"17","1683564827055","test11.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
"File.Edit","t","","17","1683564827349","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"18","1683564827350","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","18","1683564827404","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"19","1683564827405","test11.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","i","","19","1683564827444","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"20","1683564827445","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","s","","20","1683564827528","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"21","1683564827529","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","21","1683564827609","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"22","1683564827610","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","i","","22","1683564827747","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"23","1683564827747","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","s","","23","1683564827859","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"24","1683564827860","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","24","1683564827948","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"25","1683564827949","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","25","1683564828067","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"26","1683564828067","test11.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit"," ","","26","1683564828132","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"27","1683564828133","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","t","","27","1683564828448","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"28","1683564828448","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","e","","28","1683564828561","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"29","1683564828562","test11.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","s","","29","1683564828625","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"30","1683564828625","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit","t","","30","1683564828686","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"31","1683564828686","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"13","1683564826410","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"14","1683564826469","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"15","1683564826530","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"16","1683564826845","test11.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke","'",,"17","1683564827055","test11.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
"X-Keystroke","t",,"18","1683564827350","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","h",,"19","1683564827405","test11.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"X-Keystroke","i",,"20","1683564827445","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","s",,"21","1683564827529","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke"," ",,"22","1683564827610","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","i",,"23","1683564827747","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","s",,"24","1683564827860","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke"," ",,"25","1683564827949","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","a",,"26","1683564828067","test11.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke"," ",,"27","1683564828133","test11.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","t",,"28","1683564828448","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","e",,"29","1683564828562","test11.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","s",,"30","1683564828625","test11.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke","t",,"31","1683564828686","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Down",,,"1683564830808","test11.py","1.1.5 for 2021-2022 @t1",,"Down",,,,,
"X-Action","Enter",,,"1683564832153","test11.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","33","1683564832161","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1683564832926","test11.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","38","1683564832932","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1683564833298","test11.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","42","1683564833305","test11.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","   ","39","1683564833312","test11.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","p","","39","1683564833704","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"40","1683564833705","test11.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","p",,"40","1683564833705","test11.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"41","1683564833877","test11.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"42","1683564833986","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"43","1683564834041","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"44","1683564834084","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"45","1683564834384","test11.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke","'",,"46","1683564834547","test11.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
